Car,Date,Mileage,Gallons,Cost,Gas Station,Zip code,Missed Last Fill,MPF,MPG
Tiger,05/10/2019,334,11.571,29.61,,#N/A,1,#N/A,#N/A
Tiger,05/20/2019,627,11.168,28.58,Kroger,77077,0,293,25.32
Tiger,06/01/2019,906,12.064,28.46,Kroger,77007,0,279,24.98
Tiger,06/11/2019,1204,11.862,30.00,Kroger,77007,0,298,24.70
Tiger,06/21/2019,1505,12.025,25.36,,#N/A,0,301,25.38
Tiger,07/30/2019,1783,11.629,28.13,,#N/A,0,278,23.12
Tiger,08/17/2019,2043,11.545,27.35,Kroger,77007,0,260,22.36
Tiger,08/28/2019,2305,10.881,25.45,Valero,77079,0,262,22.69
Tiger,09/10/2019,2581,11.237,24.71,,#N/A,0,276,25.37
Tiger,09/28/2019,2857,11.164,25.33,,#N/A,0,276,24.56
Tiger,10/21/2019,3433,10.655,23.43,Phillips 66,77077,1,#N/A,#N/A
Tiger,11/24/2019,4035,10.906,23.00,Shell,77338,1,#N/A,#N/A
Tiger,12/07/2019,4319,11.005,23.65,Shell,77042,0,284,26.04
Tiger,12/11/2019,4630,11.263,25.78,Shell,75207,0,311,28.26
Tiger,12/22/2019,4962,11.153,25.64,,#N/A,0,332,29.48
Tiger,01/17/2020,5853,10.404,21.63,,#N/A,1,#N/A,#N/A
Tiger,01/30/2020,6161,11.096,25.51,,#N/A,0,308,29.60
Tiger,02/07/2020,6468,11.058,21.00,,#N/A,0,307,27.67
Tiger,02/20/2020,6760,10.774,23.26,,#N/A,0,292,26.41
Tiger,03/02/2020,7048,11.041,22.07,Kroger,77077,0,288,26.73
Tiger,03/30/2020,7657,12.001,19.43,,#N/A,1,#N/A,#N/A
Tiger,06/19/2020,8173,10.548,20.03,,#N/A,1,#N/A,#N/A
Tiger,10/11/2020,9325,3.127,4.50,,#N/A,1,#N/A,#N/A
Tiger,10/12/2020,9859,10.674,16.64,,#N/A,1,#N/A,#N/A
Tiger,12/11/2020,10185,10.247,17.00,,#N/A,0,326,30.54
Tiger,12/13/2020,10377,7.547,12.52,,#N/A,0,192,18.74
Tiger,12/29/2020,10704,12.066,22.43,,#N/A,0,327,43.33
Tiger,01/18/2021,10999,9.394,20.00,,#N/A,0,295,24.45
Tiger,03/19/2021,11498,10.965,28.17,,#N/A,1,#N/A,#N/A
Tiger,04/30/2021,12036,11.389,26.64,,#N/A,1,#N/A,#N/A
Tiger,05/15/2021,12307,11.282,30.00,HEB,77055,0,271,23.79
Tiger,05/24/2021,12635,11.004,29.26,Love's,70578,0,328,29.07
Tiger,05/28/2021,12754,4.99,12.47,Costco,70508,0,119,10.81
Tiger,06/01/2021,13016,8.792,22.85,Buccee's,77521,0,262,52.51
Tiger,06/04/2021,13301,9.032,22.57,Costco,70508,0,285,32.42
Tiger,06/07/2021,13605,9.169,23.83,Bucee's,77521,0,304,33.66
Tiger,06/10/2021,13868,8.675,21.68,Costco,70508,0,263,28.68
Tiger,06/14/2021,14194,12.025,27.00,Costco,77055,0,326,37.58
Tiger,06/24/2021,14512,12.074,29.81,Costco,77055,0,318,26.44
Tiger,07/07/2021,14853,11.612,30.18,Costco,77055,0,341,28.24
Tiger,07/16/2021,15171,11.687,30.14,Costco,77055,0,318,27.39
Tiger,07/30/2021,15493,12.043,31.18,Costco,77055,0,322,27.55
Tiger,08/12/2021,15834,11.714,29.86,,#N/A,0,341,28.32
Tiger,08/20/2021,16082,9.508,24.33,,#N/A,0,248,21.17
Tiger,08/30/2021,16377,11.36,28.73,,#N/A,0,295,31.03
Tiger,09/11/2021,16700,11.751,30.54,Costco,77027,0,323,28.43
Tiger,09/22/2021,16977,11.091,28.27,Costco,77055,0,277,23.57
Tiger,10/03/2021,17303,11.282,30.00,Valero,77007,0,326,29.39
Tiger,10/11/2021,17606,11.1,31.07,,#N/A,0,303,26.86
Tiger,10/22/2021,17913,11.89,33.28,Costco,77055,0,307,27.66
Tiger,11/02/2021,18199,10.613,30.13,Costco,77055,0,286,24.05
Tiger,11/12/2021,18496,10.853,31.03,,#N/A,0,297,27.98
Tiger,11/26/2021,18839,11.545,31.39,Kroger,77007,0,343,31.60
Tiger,12/26/2021,19497,11.437,30.41,Valero,77382,1,#N/A,#N/A
Tiger,01/10/2022,19799,10.705,28.25,,#N/A,0,302,26.41
Tiger,01/10/2022,20116,9.842,26.17,,#N/A,0,317,29.61
Tiger,01/12/2022,20488,11,29.36,,#N/A,0,372,37.80
Tiger,01/24/2022,20733,10.907,32.71,,#N/A,0,245,22.27
Tiger,02/03/2022,21045,11.551,32.33,Costco,77055,0,312,28.61
Tiger,08/31/2022,26837,11.027,33.51,Costco,77494,1,#N/A,#N/A
Tiger,09/19/2022,27160,11.709,36.29,Exxon,77007,0,323,29.29
Tiger,10/04/2022,27487,11.1,37.00,,#N/A,0,327,27.93
Tiger,10/19/2022,27790,11.162,32.36,Costco,77494,0,303,27.30
Tiger,11/02/2022,28087,11.288,32.05,Costco,77055,0,297,26.61
Tiger,11/14/2022,28365,11.459,31.16,Costco,77055,0,278,24.63
Tiger,11/24/2022,28685,0.969,3.00,Exxon,77007,0,320,27.93
Tiger,11/24/2022,28710,10.331,32.02,Exxon,77007,0,25,25.80
Tiger,12/04/2022,29004,11.004,33.00,Exxon,77007,0,294,28.46
Tiger,12/16/2022,29316,11.285,26.62,Shell,77092,0,312,28.35
